Plane Mechanic and Farmer,,74,-55%,"13,18€","29,49€",1,0,0
Elite Dangerous,"2 Apr, 2015",76,-75%,"6,24€","24,99€",1,0,0
Sea of Stars,"28 Aug, 2023",88,-10%,"30,59€","33,99€",1,0,0
Caves of Qud,"15 Jul, 2015",95,-10%,"15,11€","16,79€",1,1,1
The Witcher 3: Wild Hunt - Complete Edition,"30 Aug, 2016",96,-75%,"12,49€","49,99€",1,0,0
Sea of Stars + The Messenger Bundle,,91,-40%,"31,91€","53,49€",1,0,0
SUPERHOT VR,"25 May, 2017",83,-60%,"8,99€","22,49€",1,0,0
American Truck Simulator - Texas,"15 Nov, 2022",86,-10%,"16,19€","17,99€",1,1,1
BONEWORKS,"10 Dec, 2019",92,-20%,"23,19€","28,99€",1,0,0
PAYDAY 2,"13 Aug, 2013",89,-50%,"4,99€","9,99€",1,1,0
Outpath,"16 Oct, 2023",96,-20%,"11,83€","14,79€",1,0,0
"Warhammer 40,000: Gladius - Adepta Sororitas","13 Dec, 2022",95,-20%,"13,32€","16,66€",1,1,0
Dwarf Fortress,"6 Dec, 2022",95,-10%,"26,09€","28,99€",1,1,0
Keep Talking and Nobody Explodes,"8 Oct, 2015",97,-70%,"4,43€","14,79€",1,1,1
Deadly Bullets Bundle | Deadly Days + Orbital Bullet,,86,-79%,"5,97€","28,98€",1,0,0
I Expect You To Die Bundle,,95,-37%,"41,81€","66,48€",1,0,0
The Henry Stickmin Collection,"7 Aug, 2020",98,-50%,"6,99€","13,99€",1,0,1
Children of Morta,"3 Sep, 2019",89,-75%,"5,49€","21,99€",1,1,1
Euro Truck Simulator 2 - Vive la France !,"5 Dec, 2016",92,-66%,"6,11€","17,99€",1,1,1
Dead Cells,"6 Aug, 2018",97,-40%,"14,99€","24,99€",1,1,1
Soulash Series Bundle,,74,-32%,"21,79€","32,28€",1,0,0
The Witcher® 3: Wild Hunt,"18 May, 2015",96,-75%,"7,49€","29,99€",1,0,0
Megaquarium,"13 Sep, 2018",94,-70%,"7,35€","24,50€",1,1,1
Jusant,"31 Oct, 2023",96,-20%,"19,99€","24,99€",1,0,0
RAILGRADE,"13 Oct, 2023",80,-25%,"21,74€","28,99€",1,0,1
Car Mechanic Simulator 2018,"28 Jul, 2017",91,-90%,"1,95€","19,50€",1,0,1
Destiny 2: Bungie 30th Anniversary Pack,"7 Dec, 2021",46,-75%,"6,24€","24,99€",1,0,0
Aliens: Fireteam Elite - Pathogen Expansion,"30 Aug, 2022",68,-60%,"5,99€","14,99€",1,0,0
